Epoch,TotalLoss,ExtinctionLoss,DensityLoss,Time
67,1608785.55859375,1608785.55859375,0.0,0.013096888860066732
68,1601301.8125,1601301.8125,0.0,0.013115000724792481
69,1605062.1171875,1605062.1171875,0.0,0.013185826937357585
70,1608243.7734375,1608243.7734375,0.0,0.014762981732686361
71,1609603.8515625,1609603.8515625,0.0,0.012950873374938965
72,1606867.6171875,1606867.6171875,0.0,0.013067932923634847
73,1620919.875,1620919.875,0.0,0.013217532634735107
74,1617380.5078125,1617380.5078125,0.0,0.013151073455810547
75,1599938.6015625,1599938.6015625,0.0,0.012967157363891601
76,1604316.96875,1604316.96875,0.0,0.013450658321380616
77,1612507.90625,1612507.90625,0.0,0.012891280651092529
78,1601768.4609375,1601768.4609375,0.0,0.013907817999521892
79,1614396.265625,1614396.265625,0.0,0.013174871603647867
80,1609093.2578125,1609093.2578125,0.0,0.012941519419352213
81,1604878.5703125,1604878.5703125,0.0,0.012956273555755616
82,1628815.5546875,1628815.5546875,0.0,0.013338776429494222
83,1613910.0703125,1613910.0703125,0.0,0.01320954163869222
84,1599910.8046875,1599910.8046875,0.0,0.012916239102681477
85,1599843.5625,1599843.5625,0.0,0.013155806064605712
86,1609280.5390625,1609280.5390625,0.0,0.0137596329053243
87,1607444.578125,1607444.578125,0.0,0.012727840741475423
88,1617574.71875,1617574.71875,0.0,0.013471710681915283
89,1603568.0,1603568.0,0.0,0.012926812966664631
90,1602473.7734375,1602473.7734375,0.0,0.012947030862172445
91,1628911.34375,1628911.34375,0.0,0.013090185324350993
92,1599503.4765625,1599503.4765625,0.0,0.013963377475738526
93,1622997.7578125,1622997.7578125,0.0,0.015298728148142498
94,1614530.125,1614530.125,0.0,0.015571367740631104
95,1615710.0390625,1615710.0390625,0.0,0.014491844177246093
96,1602673.484375,1602673.484375,0.0,0.012920037905375163
97,1603656.1171875,1603656.1171875,0.0,0.013196345170338948
98,1598930.6640625,1598930.6640625,0.0,0.013109910488128661
99,1606280.734375,1606280.734375,0.0,0.013215009371439617
100,1624964.4609375,1624964.4609375,0.0,0.013671048482259114
101,1633840.5234375,1633840.5234375,0.0,0.01398328145345052
102,1600792.40625,1600792.40625,0.0,0.013071238994598389
103,1606526.7578125,1606526.7578125,0.0,0.012927897771199544
104,1604211.9296875,1604211.9296875,0.0,0.013130458196004231
